FROM,TO,TOTAL,SHORT,LONG
Colorado,District.5,297,212,149
Colorado,District.6,18,21,9
Colorado,District.7,83,60,41
Colorado,District.8,0,0,0
Colorado,Colorado,0,0,0
Colorado,Iowa,13262,0,6631
Colorado,Kansas,23129,71,11565
Colorado,South.Dakota,63,0,31
Colorado,Wyoming,41875,0,20938
Iowa,District.1,743,622,372
Iowa,District.2,2553,21864,1276
Iowa,District.3,1308,6592,654
Iowa,District.4,0,0,0
Iowa,District.5,0,0,0
Iowa,District.6,0,0,0
Iowa,District.7,0,0,0
Iowa,District.8,5,0,3
Iowa,Colorado,13265,0,6633
Iowa,Iowa,38883,0,19441
Iowa,Kansas,30113,0,15057
Iowa,South.Dakota,52597,0,26299
Iowa,Wyoming,2695,0,1348
Kansas,District.1,274,607,137
Kansas,District.2,3,0,2
Kansas,District.3,0,0,0
Kansas,District.4,47,221,23
Kansas,District.5,0,0,0
Kansas,District.6,0,0,0
Kansas,District.7,132,258,66
Kansas,District.8,0,0,0
Kansas,Colorado,23129,70,11564
Kansas,Iowa,30233,0,15117
Kansas,Kansas,0,0,0
Kansas,South.Dakota,114,0,57
Kansas,Wyoming,3779,0,1890
South.Dakota,District.1,0,0,0
South.Dakota,District.2,1,0,1
South.Dakota,District.3,684,342,342
South.Dakota,District.4,0,0,0
South.Dakota,District.5,151,102,75
South.Dakota,District.6,0,0,0
South.Dakota,District.7,0,0,0
South.Dakota,District.8,85,147,43
South.Dakota,Colorado,61,0,30
South.Dakota,Iowa,52608,0,26304
South.Dakota,Kansas,117,0,59
South.Dakota,South.Dakota,0,0,0
South.Dakota,Wyoming,663,0,332
Wyoming,District.1,0,0,0
Wyoming,District.2,1,0,0
Wyoming,District.3,0,0,0
Wyoming,District.4,0,0,0
Wyoming,District.5,197,439,98
Wyoming,District.6,0,0,0
Wyoming,District.7,0,0,0
Wyoming,District.8,0,0,0
Wyoming,Colorado,41860,0,20930
Wyoming,Iowa,2689,0,1345
Wyoming,Kansas,3777,0,1888
Wyoming,South.Dakota,673,0,336
Wyoming,Wyoming,0,0,0
Missouri,Colorado,0,0,0
Missouri,District.1,0,0,0
Missouri,District.2,0,0,0
Missouri,District.3,0,0,0
Missouri,District.4,0,0,0
Missouri,District.5,0,0,0
Missouri,District.6,0,0,0
Missouri,District.7,0,0,0
Missouri,District.8,0,0,0
Missouri,Iowa,0,0,0
Missouri,Kansas,0,0,0
Missouri,Missouri,0,0,0
Missouri,South.Dakota,0,0,0
Missouri,Wyoming,0,0,0
Colorado,Missouri,0,0,0
District.1,Missouri,0,0,0
District.2,Missouri,0,0,0
District.3,Missouri,0,0,0
District.4,Missouri,0,0,0
District.5,Missouri,0,0,0
District.6,Missouri,0,0,0
District.7,Missouri,0,0,0
District.8,Missouri,0,0,0
Iowa,Missouri,0,0,0
Kansas,Missouri,0,0,0
South.Dakota,Missouri,0,0,0
Wyoming,Missouri,0,0,0
